user,address,start_date,end_date,community,network
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,2019-12-18 17:29:53,2025-04-14 08:41:11,ethtrader,mainnet
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,2019-12-18 21:06:02,2028-02-06 07:21:47,ethtrader,mainnet
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,2019-12-18 21:58:30,2025-01-20 01:23:27,ethtrader,mainnet
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,2019-12-19 01:29:28,2029-03-05 18:26:08,ethtrader,mainnet
Eth_Man,0x0e066ED845a6853557A0d580b3BA998b0283ACA8,2019-12-20 08:19:32,2031-02-22 12:43:46,ethtrader,mainnet
EarnBet,0x9Bc3d5e7b6bcB527f74C886Aebda20177B45da85,2020-08-27 22:17:44,2030-07-06 22:17:44,ethtrader,mainnet
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,2020-08-27 23:54:42,2024-09-09 18:38:11,ethtrader,mainnet
Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,2020-10-21 14:34:43,2025-02-24 12:04:59,ethtrader,mainnet
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,2022-08-05 23:11:35,2024-07-25 23:11:35,ethtrader,mainnet
Fantastic-Offer-9129,0x76cA18FB5A1c48BF38e47F2D8239f038bD884813,2023-03-28 11:25:23,2033-02-03 11:25:23,ethtrader,mainnet
suikonami,0x002fb0c5d1209f8f5616BA3d211Be36c4D237d55,2023-08-16 22:18:23,2024-08-10 22:18:23,ethtrader,mainnet
scientifichistorian,0xb17DcDD2bcd04d9B19B768d87600a5B5b45db82d,2023-08-28 08:23:35,2024-08-22 08:23:35,ethtrader,mainnet
pythonskynet,0xe7F3c9746282d534f8C90fD410624333e23AC565,2023-09-04 13:00:59,2024-08-29 13:00:59,ethtrader,mainnet
tambaybtc,0xA792B45bc1Ce5B71a32B79F58D0d5D9fDD28d073,2023-09-09 17:02:47,2024-09-03 17:02:47,ethtrader,mainnet
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,2023-09-14 07:26:47,2024-04-11 07:26:47,ethtrader,mainnet
CoolCoolPapaOldSkool,0x3e94cE15A42a8E8a0AbE405a7B0dc4F00f2862Db,2023-09-16 11:45:59,2024-03-14 11:45:59,ethtrader,mainnet
TokenMining,0x274F7DC36eE5705ea3244EBCeba8b411751E6d48,2023-09-18 15:33:59,2025-10-07 15:33:59,ethtrader,mainnet
Atyzze,0x92ddbdfCEE1301F827c6228B65A1B46b0E871fc2,2023-10-10 12:36:59,2026-08-25 12:36:59,ethtrader,mainnet
